game_id,vlm_score,bot_score,winner,total_turns,score_difference,vlm_percentage
1,0,16,Bot,42,-16,0.0
2,6,10,Bot,42,-4,37.5
3,6,10,Bot,42,-4,37.5
4,3,13,Bot,42,-10,18.75
5,4,12,Bot,42,-8,25.0
6,8,8,Tie,42,0,50.0
7,8,8,Tie,42,0,50.0
8,5,11,Bot,42,-6,31.25
9,8,8,Tie,42,0,50.0
10,8,8,Tie,42,0,50.0
11,6,10,Bot,42,-4,37.5
12,8,8,Tie,42,0,50.0
13,8,8,Tie,42,0,50.0
14,9,7,VLM,42,2,56.25
15,8,8,Tie,42,0,50.0
16,16,0,VLM,42,16,100.0
17,6,10,Bot,42,-4,37.5
18,5,11,Bot,42,-6,31.25
19,5,11,Bot,42,-6,31.25
20,5,11,Bot,42,-6,31.25
21,10,6,VLM,42,4,62.5
22,8,8,Tie,42,0,50.0
23,12,4,VLM,42,8,75.0
24,4,12,Bot,42,-8,25.0
25,16,0,VLM,42,16,100.0
26,6,10,Bot,42,-4,37.5
